Animal_ID,Species,Breed,Age (yrs),Gender,Size,Health Status,Shelter Stay (days),Adoption Status,Vaccinated,Behavior Score (1–10),
ANI1000,Dog,Poodle,5.9,Female,Medium,Healthy,147,Adopted,Yes,5.6,
ANI1001,Other,Guinea Pig,7.3,Male,Small,Healthy,57,Adopted,Yes,4.6,
ANI1002,Cat,Sphynx,8.2,Male,Medium,Healthy,172,Adopted,Yes,8.7,
ANI1003,Cat,Persian,2.5,Male,Medium,Healthy,35,Not Adopted,Yes,4.9,
ANI1004,Dog,Golden Retriever,8.6,Male,Medium,Healthy,114,Not Adopted,No,4.5,
ANI1005,Dog,Bulldog,11,Female,Medium,Healthy,125,Adopted,Yes,7.2,
ANI1006,Dog,Bulldog,8,Female,Medium,Minor Injury,129,Not Adopted,Yes,6.4,
ANI1007,Cat,British Shorthair,14,Male,Small,Healthy,52,Adopted,Yes,2,
ANI1008,Cat,British Shorthair,6.8,Male,Large,Chronic Illness,85,Not Adopted,Yes,5.6,
ANI1009,Cat,British Shorthair,3.7,Female,Medium,Chronic Illness,165,Not Adopted,Yes,7.6,
ANI1010,Dog,Bulldog,7.9,Male,Medium,Healthy,65,Adopted,Yes,9.9,
ANI1011,Other,Guinea Pig,3.6,Male,Small,Healthy,179,Adopted,Yes,6.7,
ANI1012,Cat,British Shorthair,15.6,Male,Medium,Healthy,129,Not Adopted,Yes,4.3,
ANI1013,Dog,Beagle,1.9,Female,Small,Minor Injury,21,Adopted,Yes,3,
ANI1014,Dog,Golden Retriever,5.5,Female,Medium,Healthy,16,Adopted,Yes,8.9,
ANI1015,Dog,German Shepherd,5.1,Male,Large,Healthy,123,Adopted,Yes,8.3,
ANI1016,Dog,Bulldog,11.3,Male,Medium,Healthy,61,Adopted,Yes,3.1,
ANI1017,Dog,Beagle,2.3,Female,Small,Minor Injury,54,Not Adopted,Yes,2.8,
ANI1018,Dog,Golden Retriever,0.6,Female,Small,Minor Injury,168,Not Adopted,Yes,7.4,
